site,terrane,dir_dec,dir_inc,dir_alpha95,dir_n_samples,lat,lon,dir_k,vgp_lat,vgp_lon,dir_comp_name
1,Frontenac,149,72,13,5,44.7,-76.75,38,,,AN
1,Frontenac,297,-56,5,7,44.7,-76.75,148,,,AR
2,Frontenac,98,60,10,8,44.7,-76.75,32,,,AN
3,Frontenac,65,65,22,4,44.7,-76.75,18,,,AN
3,Frontenac,326,12,3,9,44.7,-76.75,312,,,B
4,Frontenac,317,-21,6,11,44.7,-76.75,62,,,B
11,Frontenac,321,-8,4,12,44.7,-76.75,128,,,B
12,Frontenac,76,62,11,12,44.7,-76.75,16,,,AN
14,Frontenac,40,64,7,13,44.7,-76.75,33,,,AN
45,Frontenac,131,74,12,9,44.7,-76.75,21,,,AN
46,Frontenac,57,59,5,24,44.7,-76.75,36,,,AN
16,Sharbot Lake,89,42,12,9,44.7,-76.75,22,,,AN
17,Sharbot Lake,63,67,11,15,44.7,-76.75,14,,,AN
19,Sharbot Lake,49,72,6,14,44.7,-76.75,51,,,AN
19,Sharbot Lake,298,-47,11,7,44.7,-76.75,30,,,AR
20,Sharbot Lake,106,60,11,19,44.7,-76.75,10,,,AN
22,Sharbot Lake,80,46,11,18,44.7,-76.75,11,,,AN
28,Sharbot Lake,283,-56,3,3,44.7,-76.75,977,,,AR
30,Sharbot Lake,270,-42,4,14,44.7,-76.75,110,,,AR
47,Sharbot Lake,103,48,12,5,44.7,-76.75,41,,,AN
21,Mazinaw,102,49,14,4,44.7,-76.75,43,,,AN
21,Mazinaw,269,-40,8,12,44.7,-76.75,33,,,AR
25,Mazinaw,317,-64,5,10,44.7,-76.75,82,,,AR
26,Mazinaw,42,-84,6,11,44.7,-76.75,63,,,AR
27,Mazinaw,75,51,7,10,44.7,-76.75,52,,,AN
27,Mazinaw,292,-57,6,11,44.7,-76.75,63,,,AR
32,Mazinaw,48,37,11,5,44.7,-76.75,52,,,AN
34,Mazinaw,78,59,9,12,44.7,-76.75,26,,,AN
34,Mazinaw,280,-46,4,8,44.7,-76.75,126,,,AR
5,Elsevir,178,57,10,6,44.7,-76.75,47,,,AN
6,Elsevir,218,82,12,12,44.7,-76.75,14,,,AN
38,Elsevir,322,-31,9,7,44.7,-76.75,50,,,NaN
54,Elsevir,321,-39,15,7,44.7,-76.75,17,,,NaN
