site,dir_dec,dir_inc,dir_alpha95,dir_n_samples,lat,lon,dir_k,vgp_lat,vgp_lon,dir_comp_name
M12,283.5,-32.5,,,45.78,-78.92,,,,AR
M13,299.5,-49,,,45.78,-78.92,,,,AR
M23,313,-41,,,45.78,-78.92,,,,AR
M24,293.5,-49.5,,,45.78,-78.92,,,,AR
M29,318.5,-41.5,,,45.78,-78.92,,,,AR
M30,257.5,-16.5,,,45.78,-78.92,,,,AR
M40,253.5,-10.5,,,45.78,-78.92,,,,AR
M41,306.5,-22,,,45.78,-78.92,,,,AR
M42,308.5,-59,,,45.78,-78.92,,,,AR
M43,281,-64,,,45.78,-78.92,,,,AR
Ban1,283,-57,,,45.08,-78.25,,,,AR
Ban2,282.5,-63.5,,,45.08,-78.25,,,,AR
W1,281,-37.5,,,45.68,-75.88,,,,AR
W2,230,-54.5,,,45.68,-75.88,,,,AR
W3,294,-30.5,,,45.68,-75.88,,,,AR
W4,252.5,-44,,,45.68,-75.88,,,,AR
