site,dir_dec,dir_inc,dir_alpha95,dir_n_samples,lat,lon,dir_k,vgp_lat,vgp_lon,dir_comp_name
84,120.2,67.3,4.7,4,47.5,-70.33,260.7,,,AN
85,142.8,43.4,4.3,4,47.5,-70.33,459,,,AN
90,218.8,-4.3,14,4,47.5,-70.33,43.8,,,AR
91,336.9,39.6,26.7,4,47.5,-70.33,22.3,,,AN
92,325.8,-68.2,35.3,4,47.5,-70.33,13.2,,,AR
93,131.4,52.2,10.3,4,47.5,-70.33,80.1,,,AN
94,113.8,65,19.6,4,47.5,-70.33,23,,,AN
95,132.6,52.6,19.8,5,47.5,-70.33,15.9,,,AN
96,109.4,23.1,11.8,4,47.5,-70.33,61.1,,,AN
97,80.2,27,23,4,47.5,-70.33,16.9,,,AN
98,288.9,51.5,64.7,5,47.5,-70.33,2.4,,,NaN
99,209.7,-18.8,16.7,4,47.5,-70.33,31.4,,,NaN
100,11.7,56.3,90,4,47.5,-70.33,1.6,,,NaN
101,112.2,-10.4,8.8,4,47.5,-70.33,109.2,,,AR
