site,dir_dec,dir_inc,dir_alpha95,dir_n_samples,lat,lon,dir_r,dir_k,vgp_lat,vgp_lon,dir_comp_name
31,277,-76,4,4,46,-74.25,3.99,300,,,AR
32,289,-69,6.3,5,46,-74.25,4.96,100,,,AR
33,279,-77,10.8,5,46,-74.25,4.88,33,,,AR
34,245,-84,10.7,4,46,-74.25,3.93,43,,,AR
35,311,-69,6.3,5,46,-74.25,4.96,100,,,AR
36,229,-84,9.4,5,46,-74.25,4.91,44,,,AR
37,280,-76,3.1,5,46,-74.25,4.99,400,,,AR
38,293,-70,5.4,5,46,-74.25,4.97,133,,,AR
39,271,-66,9.4,5,46,-74.25,4.91,44,,,AR
40,234,-70,4.4,5,46,-74.25,4.98,200,,,AR
41,315,-83,14.7,5,46,-74.25,4.78,18,,,AR
42,280,-68,4.4,5,46,-74.25,4.98,200,,,AR
43,280,-64,8.9,5,46,-74.25,4.92,50,,,AR
44,309,-61,5.4,5,46,-74.25,4.97,133,,,AR
45,308,-73,8.3,5,46,-74.25,4.93,57,,,AR
53,213,-51,9.9,5,46,-74.25,4.9,40,,,AR
54,233,-81,10.8,5,46,-74.25,4.88,33,,,AR
55,268,-69,6.3,5,46,-74.25,4.96,100,,,AR
56,132,-82,5.4,5,46,-74.25,4.97,133,,,AR
57,198,0,16.9,5,46,-74.25,4.71,14,,,AR
58,142,-76,14.3,5,46,-74.25,4.79,19,,,AR
59,212,-75,7,5,46,-74.25,4.95,80,,,AR
60,265,-76,6.3,5,46,-74.25,4.96,100,,,AR
74,191,-67,13.4,4,46,-74.25,3.89,27,,,AR
31,120,46,27.1,6,46,-74.25,4.88,4,,,AN
32,93,40,17.2,9,46,-74.25,7.91,7,,,AN
33,110,14,17.1,3,46,-74.25,2.91,22,,,AN
34,138,41,31.3,2,46,-74.25,1.9,10,,,AN
35,128,10,19,9,46,-74.25,7.67,6,,,AN
36,113,27,23.1,8,46,-74.25,6.47,5,,,AN
37,114,30,12.3,8,46,-74.25,7.57,16,,,AN
39,61,56,18.3,8,46,-74.25,7.04,7,,,AN
40,123,53,14,2,46,-74.25,1.98,50,,,AN
41,21,51,21.8,9,46,-74.25,7.26,5,,,AN
54,106,45,9.4,8,46,-74.25,7.75,28,,,AN
55,122,37,28.6,3,46,-74.25,2.75,8,,,AN
56,112,28,14.7,6,46,-74.25,5.67,15,,,AN
