site,dir_dec,dir_inc,dir_alpha95,dir_n_samples,lat,lon,dir_r,dir_k,vgp_lat,vgp_lon,dir_comp_name
4B,290,-59,8.9,5,45.66,-79.87,4.92,50,,,AR
9,296,-62,12.8,7,45.66,-79.87,6.65,17,,,AR
10,274,-54,10.4,5,45.66,-79.87,4.89,36,,,AR
11,272,-54,5.7,7,45.66,-79.87,6.93,86,,,AR
13,295,-49,7,5,45.66,-79.87,4.95,80,,,AR
2,108,41,6.3,5,45.66,-79.87,4.96,100,,,AN
3,110,36,7,4,45.66,-79.87,3.97,100,,,AN
4A,103,41,12.1,4,45.66,-79.87,3.91,33,,,AN
6,117,44,6.1,7,45.66,-79.87,6.92,75,,,AN
7,100,40,24.6,5,45.66,-79.87,4.38,6,,,AN
24,105,40,16.9,5,45.66,-79.87,4.71,14,,,AN
25,74,34,25.6,4,45.66,-79.87,3.6,8,,,AN
26,120,41,12.1,5,45.66,-79.87,4.85,27,,,AN
15,292,-62,4,4,45.66,-79.87,3.99,300,,,AR
16,286,-67,7,4,45.66,-79.87,3.97,100,,,AR
20,290,-71,12.8,3,45.66,-79.87,2.95,40,,,AR
21,298,-60,8.1,4,45.66,-79.87,3.96,75,,,AR
