Sample_No,Age,Error_Plus,Error_Minus,Age_Method,Age_Interpretation,Age_Note,Age_Material,Age_Technique,Age_Qualifier,Geological_Province,Province,Latitude,Longitude,Location,Geological_Info,Rock_Type,Rock_Description,References
G14-4,995.8,8.0,8.0,Ar/Ar,Cooling,,Hornblende,Ar Furnace-Step,Direct,Grenville Province,ON,,,Central Metasedimentary Belt,"Central Metasedimentary Belt, Bancroft Terrane",Metamorphic,,"Berger, G. W., & York, D. (1981). Geothermometry from 40Ar39Ar dating experiments. Geochimica et Cosmochimica Acta, 45(6), 795-811."
G21-113,971.0,8.0,8.0,Ar/Ar,Cooling,,Hornblende,Ar Furnace-Step,Direct,Grenville Province,ON,44.84,-78.31,Central Metasedimentary Belt,"Central Metasedimentary Belt, Bancroft Terrane",Metamorphic,,"Berger, G. W., & York, D. (1981). Geothermometry from 40Ar39Ar dating experiments. Geochimica et Cosmochimica Acta, 45(6), 795-811."
G16-25,998.0,7.0,7.0,Ar/Ar,Cooling,,Hornblende,Ar Furnace-Step,Direct,Grenville Province,ON,44.84,-78.31,Central Metasedimentary Belt,"Central Metasedimentary Belt, Bancroft Terrane",Metamorphic,,"Berger, G. W., & York, D. (1981). Geothermometry from 40Ar39Ar dating experiments. Geochimica et Cosmochimica Acta, 45(6), 795-811."
B12-415,988.0,9.0,9.0,Ar/Ar,Cooling,,Hornblende,Ar Furnace-Step,Direct,Grenville Province,ON,,,Central Metasedimentary Belt,"Central Metasedimentary Belt, Bancroft Terrane",Metamorphic,,"Berger, G. W., & York, D. (1981). Geothermometry from 40Ar39Ar dating experiments. Geochimica et Cosmochimica Acta, 45(6), 795-811."
B2-149,965.0,7.6,7.6,Ar/Ar,Cooling,,Hornblende,Ar Furnace-Step,Direct,Grenville Province,ON,,,Central Metasedimentary Belt,"Central Metasedimentary Belt, Bancroft Terrane",Metamorphic,,"Berger, G. W., & York, D. (1981). Geothermometry from 40Ar39Ar dating experiments. Geochimica et Cosmochimica Acta, 45(6), 795-811."
B5-139,985.0,8.0,8.0,Ar/Ar,Cooling,,Hornblende,Ar Furnace-Step,Direct,Grenville Province,ON,,,Central Metasedimentary Belt,"Central Metasedimentary Belt, Bancroft Terrane",Metamorphic,,"Berger, G. W., & York, D. (1981). Geothermometry from 40Ar39Ar dating experiments. Geochimica et Cosmochimica Acta, 45(6), 795-811."
D1-190,909.0,7.0,7.0,Ar/Ar,Cooling,,Biotite,Ar Furnace-Step,Direct,Grenville Province,ON,,,Central Metasedimentary Belt,"Central Metasedimentary Belt, Bancroft Terrane",Metamorphic,,"Berger, G. W., & York, D. (1981). Geothermometry from 40Ar39Ar dating experiments. Geochimica et Cosmochimica Acta, 45(6), 795-811."
B12-415,916.0,7.2,7.2,Ar/Ar,Cooling,,Biotite,Ar Furnace-Step,Direct,Grenville Province,ON,,,Central Metasedimentary Belt,"Central Metasedimentary Belt, Bancroft Terrane",Metamorphic,,"Berger, G. W., & York, D. (1981). Geothermometry from 40Ar39Ar dating experiments. Geochimica et Cosmochimica Acta, 45(6), 795-811."
B2-149,898.0,7.1,7.1,Ar/Ar,Cooling,,Biotite,Ar Furnace-Step,Direct,Grenville Province,ON,,,Central Metasedimentary Belt,"Central Metasedimentary Belt, Bancroft Terrane",Metamorphic,,"Berger, G. W., & York, D. (1981). Geothermometry from 40Ar39Ar dating experiments. Geochimica et Cosmochimica Acta, 45(6), 795-811."
G4-22,905.0,6.1,6.1,Ar/Ar,Cooling,,Biotite,Ar Furnace-Step,Direct,Grenville Province,ON,44.84,-78.31,Central Metasedimentary Belt,"Central Metasedimentary Belt, Bancroft Terrane",Metamorphic,,"Berger, G. W., & York, D. (1981). Geothermometry from 40Ar39Ar dating experiments. Geochimica et Cosmochimica Acta, 45(6), 795-811."
B2-149,807.3,6.5,6.5,Ar/Ar,Cooling,,K-Feldspar,Ar Furnace-Step,Direct,Grenville Province,ON,,,Central Metasedimentary Belt,"Central Metasedimentary Belt, Bancroft Terrane",Metamorphic,,"Berger, G. W., & York, D. (1981). Geothermometry from 40Ar39Ar dating experiments. Geochimica et Cosmochimica Acta, 45(6), 795-811."
BLSC-61,811.0,4.0,4.0,Ar/Ar,Cooling,Plateau age,K-Feldspar,Ar Furnace-Step,,Grenville Province,ON,,,Bark Lake,"Central Metasedimentary belt, Bancroft Terrane",,,"Hanes, J. A., Clark, S. J., & Archibald, D. A. (1988). An 40Ar/39Ar geochronological study of the Elzevir batholith and its bearing on the tectonothermal history of the southwestern Grenville Province, Canada. Canadian Journal of Earth Sciences, 25(11), 1834-1845."
94GG01a,983.0,8.0,8.0,Ar/Ar,Cooling,,Hornblende,Ar Furnace-Step,Direct,Grenville Province,ON,44.84,-78.31,Central Metasedimentary Belt,"Central Metasedimentary Belt, Bancroft Terrane",Metamorphic,,"Warnock, A. C., Kodama, K. P., & Zeitler, P. K. (2000). Using thermochronometry and low‐temperature demagnetization to accurately date Precambrian paleomagnetic poles. Journal of Geophysical Research: Solid Earth, 105(B8), 19435-19453."
94GG01b,998.0,8.0,8.0,Ar/Ar,Cooling,,Hornblende,Ar Furnace-Step,Direct,Grenville Province,ON,44.84,-78.31,Central Metasedimentary Belt,"Central Metasedimentary Belt, Bancroft Terrane",Metamorphic,,"Warnock, A. C., Kodama, K. P., & Zeitler, P. K. (2000). Using thermochronometry and low‐temperature demagnetization to accurately date Precambrian paleomagnetic poles. Journal of Geophysical Research: Solid Earth, 105(B8), 19435-19453."
Tamarack,996.0,8.0,8.0,Ar/Ar,Cooling,,Hornblende,Ar Furnace-Step,Direct,Grenville Province,ON,44.84,-78.31,Central Metasedimentary Belt,"Central Metasedimentary Belt, Bancroft Terrane",Metamorphic,,"Warnock, A. C., Kodama, K. P., & Zeitler, P. K. (2000). Using thermochronometry and low‐temperature demagnetization to accurately date Precambrian paleomagnetic poles. Journal of Geophysical Research: Solid Earth, 105(B8), 19435-19453."
94GG01a,901.0,7.0,7.0,Ar/Ar,Cooling,,Biotite,Ar Furnace-Step,Direct,Grenville Province,ON,44.84,-78.31,Central Metasedimentary Belt,"Central Metasedimentary Belt, Bancroft Terrane",Metamorphic,,"Warnock, A. C., Kodama, K. P., & Zeitler, P. K. (2000). Using thermochronometry and low‐temperature demagnetization to accurately date Precambrian paleomagnetic poles. Journal of Geophysical Research: Solid Earth, 105(B8), 19435-19453."
94GG01b,891.0,7.0,7.0,Ar/Ar,Cooling,,Biotite,Ar Furnace-Step,Direct,Grenville Province,ON,44.84,-78.31,Central Metasedimentary Belt,"Central Metasedimentary Belt, Bancroft Terrane",Metamorphic,,"Warnock, A. C., Kodama, K. P., & Zeitler, P. K. (2000). Using thermochronometry and low‐temperature demagnetization to accurately date Precambrian paleomagnetic poles. Journal of Geophysical Research: Solid Earth, 105(B8), 19435-19453."
MC87-22B,1015.0,6.0,6.0,Ar/Ar,Metamorphic,amphibolite,Hornblende,Ar Furnace-Step,Direct,Grenville Province,ON,45.06673,-77.81642,No topographic references given. Coordinates interpolated from sketch map in report.,"Central Metasedimentary Belt, Bancroft terrane - Bancroft undivided",Metamorphic,amphibolite,"Cosca, M.A., Essene, E.J., Kunk, M.G. and Sutter, J.F., 1992. Differential unroofing within the Central Metasedimentary Belt of the Grenville Orogen: constraints from 40Ar/39Ar thermochronology; Contributions to Mineralogy and Petrology, v. 110, p. 211-22"
Ban 34,963.0,3.0,3.0,Ar/Ar,Metamorphic,amphibolite,Hornblende,Ar Furnace-Step,Direct,Grenville Province,ON,44.97062,-77.97893,SW of Bancroft. Coordinates approximated from regional-scale sketch map in report.,"Bancroft Terrane, Central Gneiss belt - Bancroft",Metamorphic,amphibolite,"Cosca, M.A., Essene, E.J., Mezger, K. and van der Pluijm, B.A., 1995. Constraints on the duration of tectonic processes: protracted extension and deep-crustal rotation in the Grenville orogen; Geology, v. 23, p. 361-36"
Ban 36,985.0,3.0,3.0,Ar/Ar,Metamorphic,amphibolite,Hornblende,Ar Furnace-Step,Direct,Grenville Province,ON,44.97756,-78.02504,SW of Bancroft. Coordinates approximated from regional-scale sketch map in report.,"Bancroft Terrane, Central Gneiss belt - Bancroft",Metamorphic,amphibolite,"Cosca, M.A., Essene, E.J., Mezger, K. and van der Pluijm, B.A., 1995. Constraints on the duration of tectonic processes: protracted extension and deep-crustal rotation in the Grenville orogen; Geology, v. 23, p. 361-36"
