Sample_No,Age,Error_Plus,Error_Minus,Age_Method,Age_Interpretation,Age_Note,Age_Material,Age_Technique,Age_Qualifier,Geological_Province,Province,Latitude,Longitude,Location,Geological_Info,Rock_Type,Rock_Description,References
1,843,1,1,Ar/Ar,Total Gas Age,,Biotite,Ar Furnace-Step,,Grenville Province,NY,43.27,73,,Adirondack Highlands,,,"Heizler, M. T., & Harrison, T. M. (1998). The thermal history of the New York basement determined from 40Ar/39Ar K‐feldspar studies. Journal of Geophysical Research: Solid Earth, 103(B12), 29795-29814."
2,746,1,1,Ar/Ar,Total Gas Age,,Biotite,Ar Furnace-Step,,Grenville Province,NY,43.20,74,,Adirondack Highlands,,,"Heizler, M. T., & Harrison, T. M. (1998). The thermal history of the New York basement determined from 40Ar/39Ar K‐feldspar studies. Journal of Geophysical Research: Solid Earth, 103(B12), 29795-29814."
3,859,1,1,Ar/Ar,Total Gas Age,,Biotite,Ar Furnace-Step,,Grenville Province,NY,43.20,73,,Adirondack Highlands,,,"Heizler, M. T., & Harrison, T. M. (1998). The thermal history of the New York basement determined from 40Ar/39Ar K‐feldspar studies. Journal of Geophysical Research: Solid Earth, 103(B12), 29795-29814."
5,840,1,1,Ar/Ar,Total Gas Age,,Biotite,Ar Furnace-Step,,Grenville Province,NY,43.70,73,,Adirondack Highlands,,,"Heizler, M. T., & Harrison, T. M. (1998). The thermal history of the New York basement determined from 40Ar/39Ar K‐feldspar studies. Journal of Geophysical Research: Solid Earth, 103(B12), 29795-29814."
6,819,1,1,Ar/Ar,Total Gas Age,,Biotite,Ar Furnace-Step,,Grenville Province,NY,43.75,73,,Adirondack Highlands,,,"Heizler, M. T., & Harrison, T. M. (1998). The thermal history of the New York basement determined from 40Ar/39Ar K‐feldspar studies. Journal of Geophysical Research: Solid Earth, 103(B12), 29795-29814."
12,866,1,1,Ar/Ar,Total Gas Age,,Biotite,Ar Furnace-Step,,Grenville Province,NY,44.05,75,,Adirondack Highlands,,,"Heizler, M. T., & Harrison, T. M. (1998). The thermal history of the New York basement determined from 40Ar/39Ar K‐feldspar studies. Journal of Geophysical Research: Solid Earth, 103(B12), 29795-29814."
13,876,2,2,Ar/Ar,Total Gas Age,,Biotite,Ar Furnace-Step,,Grenville Province,NY,44.20,74,,Adirondack Highlands,,,"Heizler, M. T., & Harrison, T. M. (1998). The thermal history of the New York basement determined from 40Ar/39Ar K‐feldspar studies. Journal of Geophysical Research: Solid Earth, 103(B12), 29795-29814."
17,851,3,3,Ar/Ar,Total Gas Age,,Biotite,Ar Furnace-Step,,Grenville Province,NY,43.38,74,,Adirondack Highlands,,,"Heizler, M. T., & Harrison, T. M. (1998). The thermal history of the New York basement determined from 40Ar/39Ar K‐feldspar studies. Journal of Geophysical Research: Solid Earth, 103(B12), 29795-29814."
21,789,2,2,Ar/Ar,Total Gas Age,,Biotite,Ar Furnace-Step,,Grenville Province,NY,43.15,73,,Adirondack Highlands,,,"Heizler, M. T., & Harrison, T. M. (1998). The thermal history of the New York basement determined from 40Ar/39Ar K‐feldspar studies. Journal of Geophysical Research: Solid Earth, 103(B12), 29795-29814."
44,1060,2,2,Ar/Ar,Total Gas Age,,Biotite,Ar Furnace-Step,,Grenville Province,NY,43.68,74,,Adirondack Highlands,,,"Heizler, M. T., & Harrison, T. M. (1998). The thermal history of the New York basement determined from 40Ar/39Ar K‐feldspar studies. Journal of Geophysical Research: Solid Earth, 103(B12), 29795-29814."
7,918,14,14,Ar/Ar,Plateau Age,,Hornblende,Ar Furnace-Step,,Grenville Province,NY,43.73,74,,Adirondack Highlands,,,"Heizler, M. T., & Harrison, T. M. (1998). The thermal history of the New York basement determined from 40Ar/39Ar K‐feldspar studies. Journal of Geophysical Research: Solid Earth, 103(B12), 29795-29814."
9,920,21,21,Ar/Ar,Plateau Age,,Hornblende,Ar Furnace-Step,,Grenville Province,NY,44.32,74,,Adirondack Highlands,,,"Heizler, M. T., & Harrison, T. M. (1998). The thermal history of the New York basement determined from 40Ar/39Ar K‐feldspar studies. Journal of Geophysical Research: Solid Earth, 103(B12), 29795-29814."
15,926,10,10,Ar/Ar,Plateau Age,,Hornblende,Ar Furnace-Step,,Grenville Province,NY,43.97,75,,Adirondack Highlands,,,"Heizler, M. T., & Harrison, T. M. (1998). The thermal history of the New York basement determined from 40Ar/39Ar K‐feldspar studies. Journal of Geophysical Research: Solid Earth, 103(B12), 29795-29814."
16,917,10,10,Ar/Ar,Plateau Age,,Hornblende,Ar Furnace-Step,,Grenville Province,NY,44.58,74,,Adirondack Highlands,,,"Heizler, M. T., & Harrison, T. M. (1998). The thermal history of the New York basement determined from 40Ar/39Ar K‐feldspar studies. Journal of Geophysical Research: Solid Earth, 103(B12), 29795-29814."
17,945,8,8,Ar/Ar,Plateau Age,,Hornblende,Ar Furnace-Step,,Grenville Province,NY,43.38,74,,Adirondack Highlands,,,"Heizler, M. T., & Harrison, T. M. (1998). The thermal history of the New York basement determined from 40Ar/39Ar K‐feldspar studies. Journal of Geophysical Research: Solid Earth, 103(B12), 29795-29814."
1,642,1,1,Ar/Ar,Total Gas Age,,K-Feldspar,Ar Furnace-Step,,Grenville Province,NY,43.27,73,,Adirondack Highlands,,,"Heizler, M. T., & Harrison, T. M. (1998). The thermal history of the New York basement determined from 40Ar/39Ar K‐feldspar studies. Journal of Geophysical Research: Solid Earth, 103(B12), 29795-29814."
2,426,1,1,Ar/Ar,Total Gas Age,,K-Feldspar,Ar Furnace-Step,,Grenville Province,NY,43.20,74,,Adirondack Highlands,,,"Heizler, M. T., & Harrison, T. M. (1998). The thermal history of the New York basement determined from 40Ar/39Ar K‐feldspar studies. Journal of Geophysical Research: Solid Earth, 103(B12), 29795-29814."
3,586,1,1,Ar/Ar,Total Gas Age,,K-Feldspar,Ar Furnace-Step,,Grenville Province,NY,43.20,73,,Adirondack Highlands,,,"Heizler, M. T., & Harrison, T. M. (1998). The thermal history of the New York basement determined from 40Ar/39Ar K‐feldspar studies. Journal of Geophysical Research: Solid Earth, 103(B12), 29795-29814."
5,611,1,1,Ar/Ar,Total Gas Age,,K-Feldspar,Ar Furnace-Step,,Grenville Province,NY,43.70,73,,Adirondack Highlands,,,"Heizler, M. T., & Harrison, T. M. (1998). The thermal history of the New York basement determined from 40Ar/39Ar K‐feldspar studies. Journal of Geophysical Research: Solid Earth, 103(B12), 29795-29814."
6,496,1,1,Ar/Ar,Total Gas Age,,K-Feldspar,Ar Furnace-Step,,Grenville Province,NY,43.75,73,,Adirondack Highlands,,,"Heizler, M. T., & Harrison, T. M. (1998). The thermal history of the New York basement determined from 40Ar/39Ar K‐feldspar studies. Journal of Geophysical Research: Solid Earth, 103(B12), 29795-29814."
8,663,1,1,Ar/Ar,Total Gas Age,,K-Feldspar,Ar Furnace-Step,,Grenville Province,NY,43.77,74,,Adirondack Highlands,,,"Heizler, M. T., & Harrison, T. M. (1998). The thermal history of the New York basement determined from 40Ar/39Ar K‐feldspar studies. Journal of Geophysical Research: Solid Earth, 103(B12), 29795-29814."
11,783,2,2,Ar/Ar,Total Gas Age,,K-Feldspar,Ar Furnace-Step,,Grenville Province,NY,44.38,75,,Adirondack Lowlands,,,"Heizler, M. T., & Harrison, T. M. (1998). The thermal history of the New York basement determined from 40Ar/39Ar K‐feldspar studies. Journal of Geophysical Research: Solid Earth, 103(B12), 29795-29814."
12,727,1,1,Ar/Ar,Total Gas Age,,K-Feldspar,Ar Furnace-Step,,Grenville Province,NY,44.05,75,,Adirondack Highlands,,,"Heizler, M. T., & Harrison, T. M. (1998). The thermal history of the New York basement determined from 40Ar/39Ar K‐feldspar studies. Journal of Geophysical Research: Solid Earth, 103(B12), 29795-29814."
13,655,2,2,Ar/Ar,Total Gas Age,,K-Feldspar,Ar Furnace-Step,,Grenville Province,NY,44.20,74,,Adirondack Highlands,,,"Heizler, M. T., & Harrison, T. M. (1998). The thermal history of the New York basement determined from 40Ar/39Ar K‐feldspar studies. Journal of Geophysical Research: Solid Earth, 103(B12), 29795-29814."
15,785,2,2,Ar/Ar,Total Gas Age,,K-Feldspar,Ar Furnace-Step,,Grenville Province,NY,43.97,75,,Adirondack Highlands,,,"Heizler, M. T., & Harrison, T. M. (1998). The thermal history of the New York basement determined from 40Ar/39Ar K‐feldspar studies. Journal of Geophysical Research: Solid Earth, 103(B12), 29795-29814."
16,688,2,2,Ar/Ar,Total Gas Age,,K-Feldspar,Ar Furnace-Step,,Grenville Province,NY,44.58,74,,Adirondack Highlands,,,"Heizler, M. T., & Harrison, T. M. (1998). The thermal history of the New York basement determined from 40Ar/39Ar K‐feldspar studies. Journal of Geophysical Research: Solid Earth, 103(B12), 29795-29814."
17,702,2,2,Ar/Ar,Total Gas Age,,K-Feldspar,Ar Furnace-Step,,Grenville Province,NY,43.38,74,,Adirondack Highlands,,,"Heizler, M. T., & Harrison, T. M. (1998). The thermal history of the New York basement determined from 40Ar/39Ar K‐feldspar studies. Journal of Geophysical Research: Solid Earth, 103(B12), 29795-29814."
18,713,2,2,Ar/Ar,Total Gas Age,,K-Feldspar,Ar Furnace-Step,,Grenville Province,NY,44.48,74,,Adirondack Highlands,,,"Heizler, M. T., & Harrison, T. M. (1998). The thermal history of the New York basement determined from 40Ar/39Ar K‐feldspar studies. Journal of Geophysical Research: Solid Earth, 103(B12), 29795-29814."
19,728,2,2,Ar/Ar,Total Gas Age,,K-Feldspar,Ar Furnace-Step,,Grenville Province,NY,44.12,74,,Adirondack Highlands,,,"Heizler, M. T., & Harrison, T. M. (1998). The thermal history of the New York basement determined from 40Ar/39Ar K‐feldspar studies. Journal of Geophysical Research: Solid Earth, 103(B12), 29795-29814."
21,355,1,1,Ar/Ar,Total Gas Age,,K-Feldspar,Ar Furnace-Step,,Grenville Province,NY,43.15,73,,Adirondack Highlands,,,"Heizler, M. T., & Harrison, T. M. (1998). The thermal history of the New York basement determined from 40Ar/39Ar K‐feldspar studies. Journal of Geophysical Research: Solid Earth, 103(B12), 29795-29814."
22,888,2,2,Ar/Ar,Total Gas Age,,K-Feldspar,Ar Furnace-Step,,Grenville Province,NY,44.17,75,,Adirondack Highlands,,,"Heizler, M. T., & Harrison, T. M. (1998). The thermal history of the New York basement determined from 40Ar/39Ar K‐feldspar studies. Journal of Geophysical Research: Solid Earth, 103(B12), 29795-29814."
23,461,1,1,Ar/Ar,Total Gas Age,,K-Feldspar,Ar Furnace-Step,,Grenville Province,NY,43.15,73,,Adirondack Highlands,,,"Heizler, M. T., & Harrison, T. M. (1998). The thermal history of the New York basement determined from 40Ar/39Ar K‐feldspar studies. Journal of Geophysical Research: Solid Earth, 103(B12), 29795-29814."
