Sample_No,Age,Error_Plus,Error_Minus,Age_Method,Age_Interpretation,Age_Note,Age_Material,Age_Technique,Age_Qualifier,Geological_Province,Province,Latitude,Longitude,Location,Geological_Info,Rock_Type,Rock_Description,References
LVT130,897,2,2,Ar/Ar,Cooling,biotite muscovite quartz plagioclase sillimanite schist,Muscovite,Laser-Step,Direct,Grenville Province,,45.05876,-76.75339,Robertson Lake shear zone,Metasedimentary Belt,Metamorphic,amphibolite and mica schist,"Busch, J.P., and van der Pluijm, B.A., 1996, Late orogenic, plastic to brittle extension along the Robertson Lake shear zone: Implications for the style of deep-crustal extension in the Grenville Orogen, Canada: Precambrian Research, v. 77, p. 41– 57. "
LVT130,905,2,2,Ar/Ar,Cooling,biotite muscovite quartz plagioclase sillimanite schist,Biotite,Laser-Step,Direct,Grenville Province,,45.05876,-76.75339,Robertson Lake shear zone,Metasedimentary Belt,Metamorphic,amphibolite and mica schist,"Busch, J.P., and van der Pluijm, B.A., 1996, Late orogenic, plastic to brittle extension along the Robertson Lake shear zone: Implications for the style of deep-crustal extension in the Grenville Orogen, Canada: Precambrian Research, v. 77, p. 41– 57. "
RVL118,973,4,4,Ar/Ar,Cooling,amphibolite,Biotite,Laser-Step,Direct,Grenville Province,,44.88506,-76.61287,Robertson Lake shear zone,Metasedimentary Belt,Metamorphic,schist,"Busch, J.P., and van der Pluijm, B.A., 1996, Late orogenic, plastic to brittle extension along the Robertson Lake shear zone: Implications for the style of deep-crustal extension in the Grenville Orogen, Canada: Precambrian Research, v. 77, p. 41– 57. "
RVL118,1016,4,4,Ar/Ar,Cooling,amphibolite,Hornblende,Laser-Step,Direct,Grenville Province,,44.88506,-76.61287,Robertson Lake shear zone,Metasedimentary Belt,Metamorphic,schist,"Busch, J.P., and van der Pluijm, B.A., 1996, Late orogenic, plastic to brittle extension along the Robertson Lake shear zone: Implications for the style of deep-crustal extension in the Grenville Orogen, Canada: Precambrian Research, v. 77, p. 41– 57. "
SRD104,893,2,2,Ar/Ar,Cooling,pegmatite mylonite,Muscovite,Laser-Step,Direct,Grenville Province,ON,44.94568,-76.67643,Robertson Lake Shear Zone,Sharbot Lake Domain - Robertson Lake Shear Zone,Plutonic,pegmatite mylonite,"Busch, J.P., van der Pljuim, B.A., Hall, C.M. and Essene, E.J., 1996. Listric normal faulting during postorogenic extension revealed by 40Ar/39Ar thermochronology near the Robertson Lake shear zone, Grenville orogen, Canada; Tectonics, v. 15, p. 387-40"
BTN195,911,2,2,Ar/Ar,Cooling,marble,Phlogopite,Laser-Step,Direct,Grenville Province,ON,45.38362,-76.57437,Robertson Lake Shear Zone,Mazinaw terrane - unknown,Metamorphic,marble,"Busch, J.P., van der Pljuim, B.A., Hall, C.M. and Essene, E.J., 1996. Listric normal faulting during postorogenic extension revealed by 40Ar/39Ar thermochronology near the Robertson Lake shear zone, Grenville orogen, Canada; Tectonics, v. 15, p. 387-40"
ARN191,916,4,4,Ar/Ar,Cooling,marble,Phlogopite,Laser-Step,Direct,Grenville Province,ON,45.44215,-76.47204,Robertson Lake Shear Zone,Mazinaw terrane - unknown,Metamorphic,marble,"Busch, J.P., van der Pljuim, B.A., Hall, C.M. and Essene, E.J., 1996. Listric normal faulting during postorogenic extension revealed by 40Ar/39Ar thermochronology near the Robertson Lake shear zone, Grenville orogen, Canada; Tectonics, v. 15, p. 387-40"
ARN199,931,2,2,Ar/Ar,Cooling,marble,Phlogopite,Laser-Step,Direct,Grenville Province,ON,45.44215,-76.47178,Robertson Lake Shear Zone,Mazinaw terrane - unknown,Metamorphic,marble,"Busch, J.P., van der Pljuim, B.A., Hall, C.M. and Essene, E.J., 1996. Listric normal faulting during postorogenic extension revealed by 40Ar/39Ar thermochronology near the Robertson Lake shear zone, Grenville orogen, Canada; Tectonics, v. 15, p. 387-40"
JOL164,944,4,4,Ar/Ar,Cooling,amphibolite,Hornblende,Laser-Step,Direct,Grenville Province,ON,45.17885,-76.64979,Robertson Lake Shear Zone,Mazinaw terrane - unknown,Metamorphic,amphibolite,"Busch, J.P., van der Pljuim, B.A., Hall, C.M. and Essene, E.J., 1996. Listric normal faulting during postorogenic extension revealed by 40Ar/39Ar thermochronology near the Robertson Lake shear zone, Grenville orogen, Canada; Tectonics, v. 15, p. 387-40"
CDN58,951,2,2,Ar/Ar,Cooling,amphibolite,Hornblende,Laser-Step,Direct,Grenville Province,ON,44.86163,-76.82169,Robertson Lake Shear Zone,Mazinaw terrane - unknown,Metamorphic,amphibolite,"Busch, J.P., van der Pljuim, B.A., Hall, C.M. and Essene, E.J., 1996. Listric normal faulting during postorogenic extension revealed by 40Ar/39Ar thermochronology near the Robertson Lake shear zone, Grenville orogen, Canada; Tectonics, v. 15, p. 387-40"
MTG72,956,2,2,Ar/Ar,Cooling,amphibolite,Hornblende,Laser-Step,Direct,Grenville Province,ON,44.75431,-76.82779,Robertson Lake Shear Zone,Mazinaw terrane - unknown,Metamorphic,amphibolite,"Busch, J.P., van der Pljuim, B.A., Hall, C.M. and Essene, E.J., 1996. Listric normal faulting during postorogenic extension revealed by 40Ar/39Ar thermochronology near the Robertson Lake shear zone, Grenville orogen, Canada; Tectonics, v. 15, p. 387-40"
DHL251,988,2,2,Ar/Ar,Cooling,marble,Phlogopite,Laser-Step,Direct,Grenville Province,ON,44.99416,-76.50479,Robertson Lake Shear Zone,Mazinaw terrane - unknown,Metamorphic,marble,"Busch, J.P., van der Pljuim, B.A., Hall, C.M. and Essene, E.J., 1996. Listric normal faulting during postorogenic extension revealed by 40Ar/39Ar thermochronology near the Robertson Lake shear zone, Grenville orogen, Canada; Tectonics, v. 15, p. 387-40"
MTG175,1019,2,2,Ar/Ar,Cooling,marble,Phlogopite,Laser-Step,Direct,Grenville Province,ON,44.71123,-76.81394,Robertson Lake Shear Zone,Sharbot Lake terrane - unknown,Metamorphic,marble,"Busch, J.P., van der Pljuim, B.A., Hall, C.M. and Essene, E.J., 1996. Listric normal faulting during postorogenic extension revealed by 40Ar/39Ar thermochronology near the Robertson Lake shear zone, Grenville orogen, Canada; Tectonics, v. 15, p. 387-40"
RVL20A,1039,4,4,Ar/Ar,Cooling,amphibolite,Biotite,Laser-Step,Direct,Grenville Province,ON,44.90047,-76.68391,Robertson Lake Shear Zone,Sharbot Lake terrane - unknown,Metamorphic,amphibolite,"Busch, J.P., van der Pljuim, B.A., Hall, C.M. and Essene, E.J., 1996. Listric normal faulting during postorogenic extension revealed by 40Ar/39Ar thermochronology near the Robertson Lake shear zone, Grenville orogen, Canada; Tectonics, v. 15, p. 387-40"
RVL20A,1210,4,4,Ar/Ar,Cooling,amphibolite,Hornblende,Laser-Step,Direct,Grenville Province,ON,44.90047,-76.68391,Robertson Lake Shear Zone,Sharbot Lake terrane - unknown,Metamorphic,amphibolite,"Busch, J.P., van der Pljuim, B.A., Hall, C.M. and Essene, E.J., 1996. Listric normal faulting during postorogenic extension revealed by 40Ar/39Ar thermochronology near the Robertson Lake shear zone, Grenville orogen, Canada; Tectonics, v. 15, p. 387-40"
F-20,916,2,2,U/Pb,Cooling,discordia with more than one mineral,Rutile,TIMS,Maximum Direct,Grenville Province,QC,46.90006,-76.41635,"On Hwy 117, 135 km S of Grenville Front. Coordinates interpolated from sketch map in report (by OGS compilers). To be verified to coordinates given in repository item.",Reservoir Dozois terrane - Renzy shear zone,Metamorphic,gneiss; further details in repository item - not acquired at time of compilation,"Childe, F., Doig, R. and Gariepy, C., 1993. Monazite as a metamorphic chronometer, south of the Grenville Front, western Quebec; Canadian Journal of Earth Sciences, v. 30, p. 1056-106"
F-8,995,2,2,U/Pb,Metamorphic,discordia with more than one mineral,Monazite,TIMS,Direct,Grenville Province,QC,47.3048,-76.86719,"On Hwy 117, 67 km S of Grenville Front. Coordinates interpolated from sketch map in report (by OGS compilers). To be verified to coordinates given in repository item",Reservoir Dozois terrane - unknown; Reservoir Dozois terrane,Plutonic,slightly foliated granite cutting metasediments; further details in repository item - not acquired at time of compilation,"Childe, F., Doig, R. and Gariepy, C., 1993. Monazite as a metamorphic chronometer, south of the Grenville Front, western Quebec; Canadian Journal of Earth Sciences, v. 30, p. 1056-106"
F-8,998,40,40,Pb/Pb,Metamorphic,discordia with more than one mineral,Monazite,TIMS,Estimate,Grenville Province,QC,47.3048,-76.86719,"On Hwy 117, 67 km S of Grenville Front. Coordinates interpolated from sketch map in report (by OGS compilers). To be verified to coordinates given in repository item",Reservoir Dozois terrane - unknown; Reservoir Dozois terrane,Plutonic,slightly foliated granite cutting metasediments; further details in repository item - not acquired at time of compilation,"Childe, F., Doig, R. and Gariepy, C., 1993. Monazite as a metamorphic chronometer, south of the Grenville Front, western Quebec; Canadian Journal of Earth Sciences, v. 30, p. 1056-106"
F-5,1000,8,8,U/Pb,Metamorphic,discordia with more than one mineral,Monazite,TIMS,Direct,Grenville Province,QC,47.37341,-76.99248,On Hwy 117. Coordinates interpolated from sketch map in report (by OGS compilers). To be verified to coordinates given in repository item.,Reservoir Dozois terrane - unknown; Reservoir Dozois terrane,Metamorphic,gneiss; further details in repository item - not acquired at time of compilation,"Childe, F., Doig, R. and Gariepy, C., 1993. Monazite as a metamorphic chronometer, south of the Grenville Front, western Quebec; Canadian Journal of Earth Sciences, v. 30, p. 1056-106"
F-3,1004,3,3,U/Pb,Metamorphic,discordia with more than one mineral,"Monazite, Xenotime",TIMS,Estimate,Grenville Province,QC,47.42425,-77.04998,On Hwy 117. Coordinates interpolated from sketch map in report (by OGS compilers). To be verified to coordinates given in repository item.,Reservoir Dozois terrane - unknown; Reservoir Dozois terrane,Metamorphic,gneiss; further details in repository item - not acquired at time of compilation,"Childe, F., Doig, R. and Gariepy, C., 1993. Monazite as a metamorphic chronometer, south of the Grenville Front, western Quebec; Canadian Journal of Earth Sciences, v. 30, p. 1056-106"
F-4,1005,7,7,U/Pb,Metamorphic,discordia with more than one mineral,Monazite,TIMS,Estimate,Grenville Province,QC,47.41175,-77.02637,On Hwy 117. Coordinates interpolated from sketch map in report (by OGS compilers). To be verified to coordinates given in repository item.,Reservoir Dozois terrane - unknown; Reservoir Dozois terrane,Metamorphic,gneiss; further details in repository item - not acquired at time of compilation,"Childe, F., Doig, R. and Gariepy, C., 1993. Monazite as a metamorphic chronometer, south of the Grenville Front, western Quebec; Canadian Journal of Earth Sciences, v. 30, p. 1056-106"
F-9,1005,2,2,U/Pb,Peak Metamorphic,discordia with more than one mineral,Monazite,TIMS,Direct,Grenville Province,QC,47.28814,-76.83608,On Hwy 117. Coordinates interpolated from sketch map in report (by OGS compilers). To be verified to coordinates given in repository item,Reservoir Dozois terrane - unknown; Reservoir Dozois terrane,Metamorphic,gneiss; further details in repository item - not acquired at time of compilation,"Childe, F., Doig, R. and Gariepy, C., 1993. Monazite as a metamorphic chronometer, south of the Grenville Front, western Quebec; Canadian Journal of Earth Sciences, v. 30, p. 1056-106"
F-6,1006,2,2,U/Pb,Metamorphic,discordia with more than one mineral,Monazite,TIMS,Direct,Grenville Province,QC,47.35341,-76.9647,On Hwy 117. Coordinates interpolated from sketch map in report (by OGS compilers). To be verified to coordinates given in repository item.,Reservoir Dozois terrane - unknown; Reservoir Dozois terrane,Metamorphic,gneiss; further details in repository item - not acquired at time of compilation,"Childe, F., Doig, R. and Gariepy, C., 1993. Monazite as a metamorphic chronometer, south of the Grenville Front, western Quebec; Canadian Journal of Earth Sciences, v. 30, p. 1056-106"
F-9,1020,3,3,U/Pb,Metamorphic,discordia with more than one mineral,Monazite,TIMS,Direct,Grenville Province,QC,47.28814,-76.83608,On Hwy 117. Coordinates interpolated from sketch map in report (by OGS compilers). To be verified to coordinates given in repository item,Reservoir Dozois terrane - unknown; Reservoir Dozois terrane,Metamorphic,gneiss; further details in repository item - not acquired at time of compilation,"Childe, F., Doig, R. and Gariepy, C., 1993. Monazite as a metamorphic chronometer, south of the Grenville Front, western Quebec; Canadian Journal of Earth Sciences, v. 30, p. 1056-106"
F-20,1070,22,22,U/Pb,Metamorphic,discordia with more than one mineral,Monazite,TIMS,Estimate,Grenville Province,QC,46.90006,-76.41635,"On Hwy 117, 135 km S of Grenville Front. Coordinates interpolated from sketch map in report (by OGS compilers). To be verified to coordinates given in repository item.",Reservoir Dozois terrane - Renzy shear zone,Metamorphic,gneiss; further details in repository item - not acquired at time of compilation,"Childe, F., Doig, R. and Gariepy, C., 1993. Monazite as a metamorphic chronometer, south of the Grenville Front, western Quebec; Canadian Journal of Earth Sciences, v. 30, p. 1056-106"
F-4,1008,3,3,U/Pb,Metamorphic,discordia with more than one mineral,Monazite,TIMS,Estimate,Grenville Province,QC,47.41175,-77.02637,On Hwy 117. Coordinates interpolated from sketch map in report (by OGS compilers). To be verified to coordinates given in repository item.,Reservoir Dozois terrane - unknown; Reservoir Dozois terrane,Metamorphic,gneiss; further details in repository item - not acquired at time of compilation,"Childe, F., Doig, R. and Gariepy, C., 1993. Monazite as a metamorphic chronometer, south of the Grenville Front, western Quebec; Canadian Journal of Earth Sciences, v. 30, p. 1056-106"
C-93-9,599,16,16,U/Pb,Reset,granite,"Zircon, Rutile",TIMS,Direct,Grenville Province,ON,44.91704,-77.10352,Sand Lake,Mazinaw terrane - Norway Lake granite,Plutonic,granite,"Corfu, F. and Easton, R.M., 1995. U-Pb geochronology of the Mazinaw Terrane, an imbricate segment of the Central Metasedimentary Belt, Grenville Province, Ontario; Canadian Journal of Earth Sciences, v. 32, p. 959-96"
